#
#   Generated by:                 llama
#   MaxDiff Questions File:       Training/Phase2Questions/Phase2Questions-2d.txt
#   MaxDiff Answers File:         Maxdiff-llama-answers/Llama.maxdiff.2d.txt
#   Number of Unique Pairs:       
#   Number of MaxDiff Questions:  98
#
#   relationship:		  Y is typically found at an event such as X
#
#   relation1 relation2 relation3 relation4 least_illustrative most_illustrative
#
"game:referee" "prayer:reverence" "competition:athlete" "celebrant:party" "game:referee" "competition:athlete" 
"pool:water" "graduation:diploma" "circus:clown" "concert:musician" "pool:water" "circus:clown"  
"meet:athlete" "church:preacher" "athlete:competition" "zoo:animal" "meet:athlete" "athlete:competition"
"funeral:family" "party:guests" "players:game" "circus:ringmaster" "funeral:family" "circus:ringmaster"
"hospital:patient" "graduation:students" "audition:actor" "prom:dress" "hospital:patient" "prom:dress"
"clambake:clams" "carnival:rides" "funeral:corpse" "party:celebrant" "clambake:clams" "party:celebrant"
"school:students" "party:alcohol" "zoo:lion" "funeral:mourner" "school:students" "funeral:corpse"
"rides:carnival" "picnic:snacks" "funeral:coffin" "baptism:priest" "rides:carnival" "funeral:coffin"
"graduation:diploma" "hospital:patient" "pool:water" "meet:athlete" "pool:water" "graduation:diploma"
"zoo:animal" "circus:clown" "rides:carnival" "picnic:blanket" "zoo:animal" "circus:clown"
"game:players" "party:celebrant" "graduation:students" "party:alcohol" "game:players" "party:alcohol"
"clambake:clams" "concert:musician" "restaurant:chef" "baptism:priest" "clambake:clams" "baptism:priest"
"funeral:family" "picnic:snacks" "celebrant:party" "zoo:lion" "funeral:family" "zoo:lion"
"competition:athlete" "cinema:film" "church:preacher" "funeral:corpse" "competition:athlete" "church:preacher"
"prayer:reverence" "lion:zoo" "party:guests" "funeral:mourner" "prayer:reverence" "funeral:corpse"
"crime:evidence" "school:students" "circus:ringmaster" "athlete:competition" "crime:evidence" "athlete:competition"
"prom:dress" "audition:actor" "players:game" "carnival:rides" "prom:dress" "carnival:rides"
"meal:food" "funeral:coffin" "game:referee" "graduation:students" "meal:food" "graduation:students"
"celebrant:party" "competition:athlete" "circus:ringmaster" "athlete:competition" "celebrant:party" "athlete:competition" 
"audition:actor" "funeral:coffin" "cinema:film" "party:alcohol" "funeral:coffin" "audition:actor" 
"carnival:rides" "game:players" "circus:clown" "concert:musician" "circus:clown" "concert:musician" 
"graduation:diploma" "prom:dress" "rides:carnival" "meal:food" "graduation:diploma" "rides:carnival"
"pool:water" "lion:zoo" "picnic:snacks" "players:game" "pool:water" "lion:zoo"
"party:guests" "hospital:patient" "zoo:animal" "restaurant:chef" "party:guests" "restaurant:chef"
"baptism:priest" "crime:evidence" "funeral:corpse" "prayer:reverence" "baptism:priest" "funeral:corpse"
"church:preacher" "party:celebrant" "meet:athlete" "funeral:mourner" "church:preacher" "party:celebrant"
"zoo:lion" "clambake:clams" "school:students" "game:referee" "zoo:lion" "school:students"
"funeral:family" "picnic:blanket" "game:referee" "funeral:coffin" "funeral:family" "game:referee" 
