"clothes:blouses" "cutlery:forks" "crows:birds" "animals:dogs" "clothes:blouses" "animals:dogs"
"beverages:tea" "animals:cats" "libraries:books" "coins:pennies" "beverages:tea" "animals:cats"
"dogs:collies" "makeup:eyeshadow" "clothing:dresses" "dogs:animals" "dogs:collies" "makeup:eyeshadow"
"colors:blue" "clothing:shirts" "clothes:blouses" "cars:sedan" "colors:blue" "clothing:shirts"
"fish:salmon" "flowers:dahlias" "hats:sombreros" "money:dime" "fish:salmon" "hats:sombreros"
"fruit:apples" "nuts:cashews" "animals:dogs" "silverware:spoon" "fruit:apples" "animals:dogs"
"animals:cows" "clothes:shirts" "hobby:stamps" "instrument:flute" "animals:cows" "hobby:stamps"
"clothes:pants" "pets:dogs" "eyeshadow:makeup" "landscape:flowers" "clothes:pants" "landscape:flowers"
"utensils:forks" "furniture:chairs" "birds:crows" "sheets:bedding" "utensils:forks" "sheets:bedding"
"crows:birds" "china:plates" "fruit:apples" "clothing:shirts" "crows:birds" "china:plates"
"nuts:cashews" "animals:cows" "cutlery:forks" "crows:birds" "nuts:cashews" "animals:cows"
"libraries:books" "clothing:dresses" "fords:cars" "jewelry:rings" "libraries:books" "jewelry:rings"
"fish:salmon" "birds:crows" "snacks:chips" "pets:dogs" "fish:salmon" "pets:dogs" 
"silverware:spoon" "furniture:chairs" "clothes:pants" "dogs:animals" "silverware:spoon" "furniture:chairs"
"eyeshadow:makeup" "china:plates" "bedding:sheets" "seating:chair" "eyeshadow:makeup" "bedding:sheets"
"animals:cats" "beverages:sodas" "cars:sedan" "hats:sombreros" "animals:cats" "cars:sedan"
"money:dime" "clothes:blouses" "beverages:tea" "instrument:flute" "money:dime" "instrument:flute"
"utensils:forks" "sheets:bedding" "makeup:eyeshadow" "colors:blue" "utensils:forks" "colors:blue"
"hobby:stamps" "cars:fords" "coins:pennies" "dogs:collies" "hobby:stamps" "cards:fords" 
"animals:dogs" "landscape:flowers" "poems:sonnets" "flowers:dahlias" "animals:dogs" "poems:sonnets"
"clothes:shirts" "jewelry:rings" "coins:pennies" "nuts:cashews" "clothes:shirts" "jewelry:rings"
"poems:sonnets" "landscape:flowers" "seating:chair" "fruit:apples" "poems:sonnets" "fruit:apples" 
"cars:fords" "hats:sombreros" "makeup:eyeshadow" "china:plates" "cars:fords" "makeup:eyeshadow"
"utensils:forks" "cars:sedan" "crows:birds" "silverware:spoon" "utensils:forks" "crows:birds"
"dogs:collies" "libraries:books" "animals:cows" "money:dime" "dogs:collies" "libraries:books"
"animals:cats" "eyeshadow:makeup" "clothing:dresses" "bedding:sheets" "animals:cats" "eyeshadow:makeup"
"instrument:flute" "clothes:blouses" "clothes:shirts" "cutlery:forks" "instrument:flute" "clothes:blouses"
"fords:cars" "animals:dogs" "clothes:pants" "beverages:sodas" "fords:cars" "beverages:sodas"
"pets:dogs" "furniture:chairs" "sheets:bedding" "clothing:shirts" "pets:dogs" "clothing:shirts"
"dogs:animals" "colors:blue" "fish:salmon" "hobby:stamps" "dogs:animals" "hobby:stamps"
"flowers:dahlias" "snacks:chips" "birds:crows" "beverages:tea" "flowers:dahlias" "beverages:tea"
"eyeshadow:makeup" "money:dime" "poems:sonnets" "sheets:bedding" "eyeshadow:makeup" "money:dime"
"fords:cars" "cars:sedan" "beverages:tea" "furniture:chairs" "fords:cars" "beverages:tea"
"birds:crows" "bedding:sheets" "utensils:forks" "colors:blue" "birds:crows" "utensils:forks"
"jewelry:rings" "flowers:dahlias" "animals:cows" "beverages:sodas" "jewelry:rings" "animals:cows"
"pets:dogs" "instrument:flute" "clothes:pants" "hats:sombreros" "pets:dogs" "hats:sombreros"
"animals:cats" "seating:chair" "landscape:flowers" "clothes:shirts" "animals:cats" "seating:chair"
"snacks:chips" "clothes:blouses" "makeup:eyeshadow" "animals:dogs" "snacks:chips" "makeup:eyeshadow"
"cutlery:forks" "libraries:books" "china:plates" "nuts:cashews" "cutlery:forks" "china:plates"
"fruit:apples" "dogs:collies" "crows:birds" "fish:salmon" "fruit:apples" "fish:salmon"
"cars:fords" "coins:pennies" "hobby:stamps" "silverware:spoon" "cars:fords" "hobby:stamps"
"dogs:animals" "clothing:dresses" "clothing:shirts" "hats:sombreros" "dogs:animals" "clothing:dresses"
"clothing:shirts" "beverages:tea" "cutlery:forks" "jewelry:rings" "clothing:shirts" "beverages:tea" 
"birds:crows" "eyeshadow:makeup" "clothes:blouses" "china:plates" "birds:crows" "jewelry:rings"
"cars:fords" "fish:salmon" "flowers:dahlias" "fords:cars" "cars:fords" "fish:salmon"
"sheets:bedding" "instrument:flute" "cars:sedan" "utensils:forks" "sheets:bedding" "instrument:flute" 
"money:dime" "coins:pennies" "animals:cats" "dogs:collies" "money:dime" "animals:cats"
"colors:blue" "snacks:chips" "makeup:eyeshadow" "seating:chair" "colors:blue" "snacks:chips"
"animals:cows" "silverware:spoon" "pets:dogs" "landscape:flowers" "animals:cows" "landscape:flowers"
"poems:sonnets" "fruit:apples" "dogs:animals" "furniture:chairs" "poems:sonnets" "dogs:animals" 
"clothes:pants" "animals:dogs" "crows:birds" "clothing:dresses" "clothes:pants" "animals:dogs"
"nuts:cashews" "hobby:stamps" "beverages:sodas" "libraries:books" "nuts:cashews" "hobby:stamps" 
"bedding:sheets" "clothes:shirts" "beverages:sodas" "china:plates" "bedding:sheets" "china:plates"
